Date Time Created,Completed,Job ID,Asset / Position,Lock Off Number,Position 1,Position 2,Position 3,Position,Task,Completion Details,Date : Time Completed,Priority,Work Status,Date Request Converted,Was Request,Lost Operational Time (DD:HH:MM),Response Time(DD:HH:MM)
27/02/2024 11:19,FALSE,76138,ATR001(1015)(A09),,North,Assembly Hall,TD,"North,Assembly Hall,TD",rig stopped working (see chris owens),,,2) Machine Breakdown,,27/02/2024 13:31,TRUE,000 Days 00 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
26/02/2024 11:22,TRUE,76116,ATR001(1015)(A09),0,North,Assembly Hall,TD,"North,Assembly Hall,TD",Station 1 arm keeps freezing,Replaced faulty pressure switch,26/02/2024 16:30,2) Machine Breakdown,Completed,26/02/2024 12:57,TRUE,000 Days 04 Hrs 00 Mins,000 Days 01 Hrs 00 Mins
14/02/2024 09:10,TRUE,76010,ATR001(1015)(A09),0,North,Assembly Hall,TD,"North,Assembly Hall,TD",Not peening the nameplate hard enough,Craig (section leader) says that this is not currently an issue. Closing down job.,14/02/2024 11:00,2) Machine Breakdown,Completed,14/02/2024 10:43,TRUE,000 Days 00 Hrs 17 Mins,000 Days 00 Hrs 00 Mins
13/09/2023 07:23,TRUE,73473,ATR001(1015)(A09),N/A,North,Assembly Hall,TD,"North,Assembly Hall,TD",New lightbulb needed,Changed Bulb,13/09/2023 10:00,1) Health and Safety,Completed,13/09/2023 08:00,TRUE,000 Days 02 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
23/08/2023 06:58,TRUE,73207,ATR001(1015)(A09),0,North,Assembly Hall,TD,"North,Assembly Hall,TD",Air leak under oil dip,replaced pipe,23/08/2023 08:45,2) Machine Breakdown,Completed,23/08/2023 08:07,TRUE,000 Days 00 Hrs 38 Mins,000 Days 00 Hrs 03 Mins
09/08/2023 11:05,TRUE,73048,ATR001(1015)(A09),n/a,North,Assembly Hall,TD,"North,Assembly Hall,TD",Test,"machine tested, no fault found. ",26/09/2023 14:22,4) Other,Retrieved From History,09/08/2023 11:07,TRUE,000 Days 03 Hrs 15 Mins,000 Days 03 Hrs 02 Mins
14/07/2023 08:49,TRUE,72742,ATR001(1015)(A09),0,North,Assembly Hall,TD,"North,Assembly Hall,TD",oil dips not working ,Operator not 100% familiar with the startup sequence. Pause machine cycle button (green buttons found infront of each of the access doors) were not in the correct state to allow machine to start.,17/07/2023 15:00,2) Machine Breakdown,Completed,17/07/2023 13:52,TRUE,000 Days 01 Hrs 08 Mins,000 Days 00 Hrs 08 Mins
05/07/2023 09:20,TRUE,72611,ATR001(1015)(A09),0,North,Assembly Hall,TD,"North,Assembly Hall,TD",Bodies falling out of fixture on the build cycle,Resolved by PED,05/07/2023 09:25,2) Machine Breakdown,Completed,14/03/2024 12:18,TRUE,000 Days 00 Hrs 05 Mins,000 Days 00 Hrs 00 Mins
04/07/2023 11:30,TRUE,72599,ATR001(1015)(A09),0,North,Assembly Hall,TD,"North,Assembly Hall,TD","arm lineament out of position 
see Chris Owen for detail ",adjusted,04/07/2023 14:15,2) Machine Breakdown,Completed,04/07/2023 14:46,TRUE,000 Days 00 Hrs 30 Mins,000 Days 00 Hrs 00 Mins
03/07/2023 08:33,TRUE,72575,ATR001(1015)(A09),0,North,Assembly Hall,TD,"North,Assembly Hall,TD","air leak on oil dip
steam arm alignment issue

contact chris owens",Made adjustments.,03/07/2023 11:15,2) Machine Breakdown,Completed,03/07/2023 10:14,TRUE,000 Days 01 Hrs 01 Mins,000 Days 00 Hrs 01 Mins
01/07/2023 20:36,TRUE,72555,ATR001(1015)(A09),\,North,Assembly Hall,TD,"North,Assembly Hall,TD",air leak,"replaced airline, running",23/06/2023 15:00,2) Machine Breakdown,Completed,,FALSE,000 Days 01 Hrs 00 Mins,000 Days 00 Hrs 00 Mins
